index,Title,JobDescription,JobRequirment
950,Project Manager/Co-ordinator,"The role requires dedicated and responsible person. As a Project Coordinator you will be the key of communication, and make sure to support the Project Manager in the whole phase of our projects. The role requires a person that is self going and communicative.","As a Project Coordinator you will be responsible for tasks such as meeting notes, planning parts of the project, communication to our development centers in Europe."
955,Quality Assurance Assistant,CIT is looking for a Quality Assurance Assistant to support QA department daily operations.,"- Process the orders and required documentation flow; - Advise the company personnel; - Support, develop and execute appropriate QA policies; - Support of the dynamic organizational structure."
957,Developer Ad Technology ID No. 1,"To build up our Engineering Team in Armenia, we are currently looking for motivated technical persons to take over a new position as a Developer. You will belong to a young and dynamic team working on the advertising system (named DART Enterprise) and its existing interfaces. You will work on very different projects like customisation of the system, building of complex new interfaces, further development of our reporting tools, technical support to our Sales departments, etc. During these projects you will also work together with your colleagues in different European countries. Do you have fun by solving technical problems? Are you able to handle multiple priorities and to approach the issues analytically? Can you work independently in a European organisation?  If yes, you are definitely the right person for this job and we are looking for your application!","- Learn and understand the AdServing technology (DART Enterprise), its functionality and then understand the surrounding systems and the system architecture as it maps to our business needs; - You will become an expert in customising and integrating the AdServer software; - You will also be the technical key contact person for the trafficking team in Armenia to support them for all technical purposes (for example problem solving regarding creatives, new advertising format implementation/ coding, write templates, mapping files, etc.); - You will support us for our technical projects with your expertise."
958,Ad Developer ID No. 3,"To build up our Engineering Team in Armenia, we are currently looking for motivated technical persons to take over a new position as a Developer. You will belong to a young and dynamic team working on the advertising system (named DART Enterprise) and its existing interfaces. You will work on very different projects like customisation of the system, building of complex new interfaces, further development of our reporting tools, technical support to our Sales departments, etc. During these projects you will also work together with your colleagues in different European countries. Do you have fun by solving technical problems? Are you able to handle multiple priorities and to approach the issues analytically? Would you like to lead projects and work together with very international teams? If yes, then you are definitely the right person for this job and we are looking for your application!","- Learn and understand the DoubleClick DART Enterprise technology and functionality, understand the surrounding systems, and system architecture as it maps to our business needs; - Become an expert in customising and integrating the DoubleClick AdServer software; - Develop and maintain our Sales supporting systems; - Program pre-defined project assignments."
959,Developer Ad Technology ID No. 2,"To build up our Engineering Team in Armenia, we are currently looking for motivated technical persons to take over a new position as a Developer. You will belong to a young and dynamic team working on the advertising system (named DART Enterprise) and its existing interfaces. You will work on very different projects like customisation of the system, building of complex new interfaces, further development of our reporting tools, technical support to our Sales departments, etc. During these projects you will also work together with your colleagues in different European countries. You will be a technical key contact person for the users of the tool and will support them for all technical purposes. You will be our programmer for new pre-defined project assignments that are planned.Do you have fun by solving technical complex problems? Can you approach the problems and the requirements in a systematic and detailed manner? Do you enjoy working in a team as a key player? Are you able to drive important projects successfully and to document your work? If yes, you are definitely the right person for this job and we are looking for your application!","- Learn and understand the AdServing technology (DART Enterprise), its functionality and then understand the surrounding systems and the system architecture as it maps to our business needs; - Become an expert in customising and integrating the AdServer software; - You will be our key contact person for our reporting system and will be responsible for its maintenance and all further technical developments in the tool."
960,Senior Developer Ad Technology,"To build up our Engineering Team in Armenia, we are currently looking for a motivated technical Senior Developer. You will belong to a young and dynamic team working on the advertising system (named DART Enterprise) and its existing interfaces. As a team leader you will work on very different projects like customisation of the system, building of complex new interfaces, further development of our reporting tools, technical support to our Sales departments, etc. You will drive projects in a rapidly changing environment and will have to work effectively with people across the organisation. You will be our expert regarding the architecture and functionality of our AdServer system and will have an excellent understanding of its technical capabilities. You will be our technical project manager for complex technical projects which require technical experience and a strong and varied knowledge. To be successful you need to have the ability to engage complex business and technical challenges confidently in order to make the right tradeoffs.  Are you an outstanding decision maker? Are you able to assign tasks with an excellent planning of skills and give precise instructions? Do you work goal oriented and have an excellent faculty of judgement and thinking? If yes, then you are definitely the right person for this job an","- Learn and understand the AdServing technology (DART Enterprise), its functionality and then understand the surrounding systems and the system architecture as it maps to our business needs; - Become an expert in customising and integrating the AdServer software; - Prepare the technical recommendations and define our technical specifications taking our business requirements into account for development projects, assign the resources correctly; - Completion of development projects within agreed time-frames. Perform work planning, development, and second level support for business departments."
965,English - Armenian Language Translator/ Interpreter,Provide quality and in time (mostly  verbal) translations and interpretations to/from English and Armenian languages.,"- Extensive translations/interpretations in the sphere of commercial, technical, social and financial affairs at meetings; - Translations of documents."
967,C++/ C# Senior Developer,The primary objective of this position is to produce required product in conjunction with team members.,- Gather and produce requirements and designs; - Write and test code for the required product; - Accurately plan software development activities and follow established processes; - Communicate effectively with management and also team members; - Actively participate in discussions regarding technical issues.
968,Technical Recruiter,"The primary objective of this position is to support recruiting processes and provide superior customer service to applicants, candidates and hiring team.","- Utilize and maintain a comprehensive database of candidates and contact information; track movement of applicants and candidates over time; - Coordinate cross-functional data tracking; - Enter and maintainsdata/information for metrics management; - Research options for sourcing in specific geographic areas; - Coordinate advertising efforts; - Assist in managing vendor and university relationships  Alumni organizations; - Assist in the coordination of job fairs, open houses and receptions; - Coordinate the ordering, delivery and set up of materials for recruitment events; - Keep the recruitment process moving  address stalls in the process (i.e. resumes not being reviewed, tests not being evaluated); - Screen resumes; - Administer assessment tests; - Schedule interviews and follow up with candidates and managers; - Conduct employment reference and background checks; - Enter new hire information into internal systems; - Generate offer letters; - Participate in new hire orientations; - Ensure closed job files are complete and meet legal, regulatory and audit compliance requirements; - Assist in coordinating postmortems for the recruitment, selection and integration processes."
969,C++/ C# Senior Developer,The primary objective of this position is to produce required product in conjunction with team members.,- Gather and produce requirements and designs; - Write and test code for the required product; - Accurately plan software development activities and follow established processes; - Communicate effectively with management and also team members; - Actively participate in discussions regarding technical issues.
970,Designer/ Architect,We are looking for a dedicated person ready to fulfill the position of the Designer/ Architect.,- Draw up projects for buildings; - Represent and discuss the projects with the leaders of the building company.
971,Executive Director,"We are looking for a dedicated person, ready to fulfill the position of an Executive Director at a store.",- Lead and manage the works of the store; - Be in charge of the whole store operations; - Organize the daily works.
972,Public Policy Specialist,"Working closely with the Deputy Program Director, the Public Policy Specialist will provide guidance and technical assistance in the areas of research and analysis to support legislative activity including both consideration of legislation, the state budget and legislative oversight. In partnership with counterparts, the Public Policy Specialist will work to provide targeted assistance in enhancing the internal capacity within the National Assembly as well as effective mechanisms for drawing upon external expertise. This includes working closely with short-term project consultants and assisting with the design and implementation of workshops, drafting reports and recommendations and developing tools for enhanced procedures and conducting training.","- Work with the counterpart to develop mechanisms and systems to institutionalize linkages between standing committees, research and analysis units, and policy experts both within ministries and from institutions outside government structures; - Work with the Deputy Program Director to assist standing committees, legislators, and staff in employing new methods and practices for analyzing legislation including budget analysis;  - Provide long-term assistance and coordinate short-term technical assistance to the National Assembly in gauging the impact of legislation on societal groups and in conducting fiscal, environmental, and gender-based policy analysis; - Participate in designing and implementing training programs for National Assembly staff and elected deputies as well as training programs for individuals and organizations working with parliament; - Oversight and management of policy analysis and research studies; - Working as part of a team, coordinating with all project personnel and other donor projects to ensure complimentary activities."
973,Printing/Publishing Assessment Consultant,The Printing/Publishing Assessment Consultant will conduct a cost/benefit assessment of a proposal on enhancing the in-house printing/publishing capacity of the National Assembly of the Republic of Armenia to the extent that from a technical standpoint outsourcing (utilizing outside printing/publishing companies) would no longer be necessary.,"The incumbent will gather information through working with and interviewing key actors from, inside and outside of the National Assembly to determine in a written report:  - the costs of proposal implementation including initial as well as annual maintenance costs including spare parts needs; - the annual costs that the current mode of operations entails in which the National Assembly makes use of its current duplicating and printing equipment for less complex pamphlets while more complex and longer publications are printed using outside printing companies;      - the type and costs of training National Assembly staff would need to maintain any newly acquired printing equipment in working order;  - the current annual number of publications being printed under National Assembly auspices whether through in-house or outside printing; - whether this proposal would increase the current number of publications printed under National Assembly auspices and thus, better serve the Armenian legislative community; - the degree to which outside printing companies are currently and in the future will meet the printing needs of the National Assembly."
974,Program Assistant,"The Program Assistant will report to the Field Assistant in Armenia. He/she will be responsible for monitoring Heifer projects, community mobilization and agricultural training components of the project and for support to project holders. The Program Assistant will be assisting the Field Assistant in Armenia for defining, assessing and implementing the technical assistance needs of beneficiaries. The position includes 50% of the regional travel in Armenia.","- Mobilize rural communities, educate and train them to become eligible for Heifer projects development; - Work with project holders to collect data on social-economic status of beneficiary families in targeted communities; - Educate, train and advise community groups; - Train community groups the developing plans for agriculture projects; - Monitor implementation of a comprehensive technical assistance program for beneficiaries; - Provide in time reliable and valid data reflecting progress in Heifer projects in Armenia; - Assist in other areas when needed."
975,Administrative Assistant,"To provide administrative assistance to Heifer Caucasus Regional office in Yerevan and the Director, ensuring daily office operations are carried out efficiently and effectively. This position will include administrative support and office management functions. The Administrative Assistant will report to the Heifer Caucasus Regional Director.","- Ensure quality translations of written documents in English, Armenian and Russian languages;   - Provide oral translations as needed; - Design and maintain office reception area; - Respond to the telephone calls; - Receive visitors and refer to relevant staff if needed; - Schedule appointments for key staff; - Coordinate and/or facilitate arrangements for travel, meetings, conferences and training workshops, including local transportation, by working with office logistician and the drivers; - Maintain office files and records; - Copy and fax materials; - Maintain Heifer Caucasus web-site as requested; - Assist with special projects as requested; - Perform other job-related duties as requested."
976,Electrical Engineer,"Design, inspection and supervision of Electromechanical Studies and Works.","Responsible for design of electromechanical infrastructure, for GSM Telecom equipment, as well as for supervision of related sub-contracting works."
977,Telecommunications Installation Engineer,"Installation and Engineering of GSM Telecom Equipment (Radio Base Station, M/W Links).","Apply appropriate engineering skills, with emphasis on telecommunication equipment engineering and drawings regarding installation studies."
978,Telecommunications Engineer,"Commissioning and Maintenance of GSM Telecom Equipment (Radio Base Stations, M/W Links).","On-field start-up, testing, measurement and maintenance activities for implementing a GSM Network."
979,Lawyer,We are seeking for a qualified Lawyer to work for an NGO.,- Answer the phone calls; - If necessary protect the rights of clients in the court; - Explain clients their rights.
985,General Practitioner,"Cascade Capital Holdings (CCH) CJSC is looking for a motivated, self-driven, highly professional candidate for the position of General Practitioner.  We are looking for well organized and hard working persons able to work in a western-style office environment towards the achievement of team goals.",- Provide medical advise and services to the insurance trading division customers; - Other general medical advice on the CCH level.
987,English Language Instructor,We are expanding our Language Center activities and are looking for more qualified language specialists. Under the overall supervision of the Language Center Director the Language Instructor will develop and conduct language classes.,- Develop a comprehensive curriculum plan and language materials to cover every knowledge level; - Develope and conduct language pre-orientation tests; - Conduct language classes. - Develope and cunduct course accmoplishment grading tests.
988,Accountant,"The Foundation needs a qualified Accountant, who will be responsible for the complete accounting of the organization.",- Financial reports control; - Maintain banking records and running balance. Prepare projected expenses and wire transfer requests; - Prepare reports to tax authorities and head office; - Enforce financial control systems including  petty cash management; - Assist in financial evaluation of proposals; - Other tasks as requested by the Director.
990,Logistics Assistant (ICS5/GS5),Under the supervision of the Assistant Representative the incumbent will provide logistical services in support of the programme and office management. We are looking for candidates who will: - Establish effective relationships with internal and external clients; - Maintain information/databases on system design features and develop system components; - Demonstrate personal commitment to UNFPAs mandate and to the organizational vision; - Work collaboratively with colleagues inside and outside of UNFPA; - Strive to achieve high personal standard of excellence.,"- Take responsibilities for receiving of UNFPA-procured cargoes and processing customs clearance, including necessary correspondence and communications with related Government authorities; prepare receiving and inspection reports in the required format and submit them to HQs Procurement Unit; - Maintain the inventory management and classification system for the UNFPA warehouse; - Manage a distribution of medical equipment and contraceptive supplies among NGOs and Government counterparts; - Provide full range of logistical support for planning, securing and implementing necessary arrangements for programme related activities and events. Those services include rental of premises, procurement or rental of required equipment and supplies, organization of simultaneous interpretation services to support these events, securing accommodation for and timely transportation of event participants, etc.; - Ensure timely and adequate conduct of competitive bidding for the procurement of relevant equipment and supplies to address the needs of the country programme and projects activities, including timely and appropriate preparation of the essential documentation for LCC;  - Fulfill necessary responsibilities related to accommodation and visa processing for arriving consultants and staff; otherwise facilitate immigration and customs formalities, meet arriving officials and delegations at the airport; - Assist in maintaining records of non-expendable office equipment and furniture, timely reflect new entries in Inventory Cards, and make arrangements for inventory disposal; maintain the office equipment ensuring its timely repair when required; - Provide procedural advice and training to project staff of Government-executed projects concerning procurement procedures, preparation of necessary inventory reports, and vehicle records as per required Rules and Regulations; - Supervise the UNFPA project drivers, monitor the maintenance of Vehicle Daily Logs and Vehicle History Records; - Fulfill data management and office automation management functions; address a broad range of office equipment maintenance responsibilities, including installation of new computer systems and items, maintaining of the such, both hardware and software, in the operating condition, etc.;  - Drive office vehicles for the transport of authorized personnel and ensure normal mechanical operation of the vehicle, perform timely technical check-ups, ensure that the vehicle is kept clean and in good running condition at all times; - Ensure that the steps required by rules and regulations are taken in case of involvement in accident; - Maintain all records related to the use of UNFPA vehicle such as Vehicle Daily Log and Vehicle History Record, and regularly submit them to relevant administration officials."
991,Administrative Assistant,"We are looking for a dedicated and sociable person, ready to fulfil the position of the Administrative Assistant and work in a team.",- Carry out administrative tasks; - Answer the phone calls; - File the documentation.
992,Designer/ Engineer,We are seeking for a Designer/Engineer to work for a construction company.,- Design the new projects for buildings and entities to be build up; - Be in good cooperation with the team and leaders of the company.
994,Accountant,"We are looking for a dediacated person, ready to fulfil the position of Acountant at a travel agency.",- Work with the banks and appropriate agencies; - Realize the accountancy of the company.
996,Administrative Assistant,"To manage correspondence, render assistance to the office personnel as required.",- Maintain daily operations; - Maintain the documentation flow; - Arrange meetings; - Organise the filing; - Support the staff with required information; - Committment to work extra-hours.
998,Accountant,CRD/TI Armenia is currently seeking a qualified candidate to fill a part-time position of the Accountant.,"- Manage the accounting and finances of the organization under the supervision of the CRD/TI Armenia Executive Director; - Work with the Directors of ongoing CRD/TI Armenia projects; - Prepare and submit monthly reports to the CRD/TI Armenia Executive Director and Project Directors; - Prepare and submit financial reports and other required documents to Tax Inspectorate and Social Protection Fund, as well as donor organizations;  - Ensure compliance of financial management and reporting to the appropriate legislation of the Republic of Armenia and donors requirements; - Prepare budgets, track expenditures, and reconcile bank information; - Perform other duties as assigned by the CRD/TI Executive Director."
999,Local Representative,To act as the primary representative of the California Trade Office in Armenia. To respond to requests for information concerning two-way trade and economic development between California and Armenia. To work on facilitating direct foreign investment and giving direct support to Californias export-friendly firms.,"- Implement an outreach strategy to identify and facilitate direct foreign investment; - Identify and promote Californias major export industries and work with local industries, trade associations, or government agencies to identify and recruit candidates for two-way investment in and from California; - Research information on companies, trade associations, business practices, government incentives and any information relevant to business counseling and providing such counseling to visiting companies in Armenia; - Coordinate planning and recruiting for out-bound trade missions, conferences, seminars and California trade pavilions; - Represent the foundation in discussions with the Government of Armenia regarding trade policies."
1000,Receptionist/ Admin Assistant,"The basic purpose of this position is to ensure smooth communication and feedback with visitors, donor, partner and other organizations.","- Answer and screen telephone queries with discretion; take notes and make appointments; - Greet visitors; - Register and route all incoming and outgoing mails; - Draft outgoing correspondence of general and administrative character; - Assist the staff in everyday routine work; - Send and receive faxes, letters and e-mails;  - Maintain telephone directory; - Make translations from and to English-Armenian-Russian languages; - Assist in the arrangement of receptions, workshops, training events and conferences on a range of issues related to Career Center projects; - Assist in routine administrative tasks."
1003,Client Manager/ Accountant,The Company is currently seeking a qualified candidate to fill the position of the Client Manager/Accountant.,- Single point of contact with customers; - Responsible for contacts with foreign partners; - Prepare and submit financial reports and other required documents to Tax Inspectorate and Social Protection Fund; - Maintain daily operations; - Maintain the documentation flow; - Other tasks as requested by the General Director.
1007,Programmer,"Cascade Capital Holdings (CCH) CJSC is looking for motivated, self-driven, highly professional candidates for the position of Programmer.  Initially the incumbent will be responsible for a specific software development task to be accomplished within six months. Then, if necessary, the employment will be prolonged. The programmer will work under supervision of the CCH IT manager.  We are looking for a well organized and hard working person able to work in a western-style office environment towards the achievement of team goals.",- Development of Finance Specific software; - Other relative tasks as necessary.
1014,Native English Language Instructor,We are expanding our Language Center activities and are looking for more qualified language specialists. Under the overall supervision of the Language Center Director the Language Instructor will develop and conduct language classes.,- Develop a comprehensive curriculum plan and language materials to cover every knowledge level; - Develope and conduct language pre-orientation tests; - Conduct language classes. - Develope and cunduct course accmoplishment grading tests.
1017,Livelihoods Programme Officer,To provide programme and policy work and technical input in the small business development programme.,"Specific Responsibilities: - Implement Oxfam advocacy strategies designed to influence the policies and practices of country key institutions relating to Poverty reduction Country Strategy (PRSP); - Build network and carry out research for supporting advocacy on small business development; - Provide legal input into the small business development/ access to market campaigns; - Monitor the broader context/ trends (economic, social, political) for contributing Oxfam programme developments in livelihoods; - Support project partners; - Lobby government officials: Develop and maintain key relations within the key national institutions and key actors: government officials, NGO, INGO colleagues; - Provide technical input into the development and delivery of the small business development programme; - Provide active involvement on policy, research, advocacy and lobbying key decision makers for a wider impact related to the programme; - Identify partners competent or having a potential to implement projects in advocacy in livelihoods; - Prepare funding proposals and provide inputs in fundraising for further development of Oxfams programme in livelihoods; - Ensure that program activities are implemented according to agreed standards and incorporate technical advice from relevant departments inside and outside Oxfam. Representation - Work closely with Country Programme manager to implement Oxfam advocacy strategies designed to influence the policies and practices of institutions relating to small business development; - Work closely with the CPM to develop and maintain relations within the key institutions and key actors in small business development at national and local levels. Resource and Partner Management - Prepare monthly, quarterly and annual reports and budgets for the livelihoods programme in cooperation with partners; - Ensure that Oxfams funds are managed in a responsible and accountable way in accordance with established financial procedures at the project level. Others - Ensure that all of Oxfams activities are sensitive to gender equality and diversity and that Oxfam programmes are participatory in approach and non-discriminatory in terms of gender, race, religion, ethnicity or nationality; - Other duties as assigned by the Country Programme Manager."
1018,C#.NET Senior Developer/ Architect,"An American software development company is actively looking for C#.NET developers for complex and long-term projects. The position entails working with Microsoft products. The projects will deal with large, well-known customers.",- Software development according to requirements; - Take part in gathering requirements; - Take part in system architecture development; - Participate in planning; - Complete work according to deadlines; - Take part in mentoring other developers professional skills.
1020,Livelihoods Programme Officer,To provide programme and policy work and technical input in the small business development programme.,"Specific Responsibilities: - Implement Oxfam advocacy strategies designed to influence the policies and practices of country key institutions relating to Poverty reduction Country Strategy (PRSP); - Build network and carry out research for supporting advocacy on small business development; - Provide legal input into the small business development/ access to market campaigns; - Monitor the broader context/ trends (economic, social, political) for contributing Oxfam programme developments in livelihoods; - Support project partners; - Lobby government officials: Develop and maintain key relations within the key national institutions and key actors: government officials, NGO, INGO colleagues; - Provide technical input into the development and delivery of the small business development programme; - Provide active involvement on policy, research, advocacy and lobbying key decision makers for a wider impact related to the programme; - Identify partners competent or having a potential to implement projects in advocacy in livelihoods; - Prepare funding proposals and provide inputs in fundraising for further development of Oxfams programme in livelihoods; - Ensure that program activities are implemented according to agreed standards and incorporate technical advice from relevant departments inside and outside Oxfam. Representation - Work closely with Country Programme manager to implement Oxfam advocacy strategies designed to influence the policies and practices of institutions relating to small business development; - Work closely with the CPM to develop and maintain relations within the key institutions and key actors in small business development at national and local levels. Resource and Partner Management - Prepare monthly, quarterly and annual reports and budgets for the livelihoods programme in cooperation with partners; - Ensure that Oxfams funds are managed in a responsible and accountable way in accordance with established financial procedures at the project level. Others - Ensure that all of Oxfams activities are sensitive to gender equality and diversity and that Oxfam programmes are participatory in approach and non-discriminatory in terms of gender, race, religion, ethnicity or nationality; - Other duties as assigned by the Country Programme Manager."
1022,Advocate,"Bar Association of the Republic of Armenia is looking for three motivated, highly professional Advocates who are willing to work within the framework of the project, one Advocate for each regional office. Initially the incumbent will pass short training in Yerevan or other regional offices and then perform its direct tasks at the regional office. We are looking for a well organized and hard working person able to work in a regional office environment towards the achievement of project goals.","- Legal consulting upon the visit of a citizen; - Written responses upon the applications of the visitors and, if necessary and allowed by the law, written inquiries to corresponding state or other bodies with the subsequent handing of the replies to inquires to the visitors; - Court representation for in advance established groups of people; - Report on quarter and annual bases; - Prepare and maintain the databases related to legal activities."
1032,Credit Services Manager,"Under the supervision of the CARD Director/CARD Deputy Director, the incumbent acts as the manager of all credit operations of CARD. This includes management of CARD credit portfolio, developing new credit programs and instruments with the emphasis on SME development and microfinance, and pursuing the development of tools, methods and analytical frameworks for enhancing the positive impact of CARD credit programs on Armenia's agricultural sector and for optimum customer-oriented services.","- Review and advise the supervisor regarding the best strategies, policies, and instruments related to all credit operations of CARD. Play a key role in the establishment and formulation of these strategies and policies. Responsible for implementation of established credit program strategies, including credit portfolio management, risk and exposure analyses, the introduction of new credit products, proper control mechanisms, related IT systems, etc.; -A s a member of the management team, participate in the decision-making on plans and policies affecting credit operations; - Develop a Credit Manual, which elaborates and introduces internal instruments and procedures for credit operations management and ensure that they are kept up-to-date by Credit Department; - Analyse the need for, and evaluate cost effectiveness of existing and possible new credit instruments and related performance monitoring/collection mechanisms; - Provide analytical reports and other comprehensive information for CARD management decisions; - Accountable for the integrity, transparency, and efficiency of CARD credit operations; - Supervise other staff of the Credit Department to ensure the integrated management of all CARD credit operations and oversee all credit management systems; - Supervise the work of the overseas and local consultants attached to the Credit Department; - Establishe and manage a system for the effective evaluation of all loan applications; - Serve as a member/Chairperson of the Loan Advisory Committee, responsible for final recommendations for the approval/rejection of loan applications to the management; - Establishe and manage a system for providing advice to clients in the development of business plans as required for loan applications ensuring close co-ordination with the other relevant Departments of CARD. Develop materials to assist clients in the business plan development; - Establishe effective communications with both loan customers and loan servicing banks or institutions.  Prepare an annual Credit Program Work Plan/Framework and corresponding program budget proposals to be integrated into the overall CARD Strategic Result Framework; - Prepare periodic reports on CARD credit operations to management, including an annual credit program impact report, a monthly loan performance report and a periodic report on problem loans; - Work in collaboration with the Finance Department and CARD related entities to ensure proper accounting for loan, lease and credit transactions and timely reports to management. - Prepare other reports or statement on CARD credit operations as required by Armenian law and/or CARD donors; - Prepare analytical reports on CARD credit operations as required by CARD management; - Train staff of the Credit Department in matters related to effective management of credit operations, including the development of new credit instruments, and the appraisal of loan applications; - Provide on-going advice on credit operations to CARD staff and other parties as requested; - Conduct needs assessment and develop SOWs for selection of overseas consultants for credit services."
1033,Agribusiness Services Manager,"Under the supervision of the CARD Director/CARD Deputy Director, the incumbent acts as the manager of all agribusiness operations of CARD. This includes management of CARD programs in the area of marketing, improved processing, new technologies and input supplies, enterprise/ cooperative development and increased production of agricultural products. In addition he/she will have to pursue the development of new programs and instruments for enhancing the positive impact of CARD assistance programs on Armenia's agricultural and agribusiness sector and the introduction of Armenian agricultural products into the local and international markets. These programs and instruments will include revenue raising and cost-sharing components.","- Review and advise the Director/Deputy regarding the best strategies, policies and instruments related to all agribusiness and marketing operations. Play a key role in the establishment and formulation of these strategies and policies. Responsible for the implementation of established agribusiness development program strategies, including the introduction of best practices in agricultural production, processing and marketing; - As a member of the management team, participate in decision-making on plans and policies affecting agribusiness operations, including the design of new programs and projects; - Elaborate and introduce internal instruments and procedures for agribusiness program management; - Develop and ensure maintenance of sections of the Project Cycle Manual pertinent to agribusiness; - Analyze the need for, and evaluate cost effectiveness of existing and possible new programs and related performance monitoring mechanisms; - Provides analytical reports and other comprehensive information to support CARD management policy decisions; - Accountable for the integrity, transparency, and efficiency of CARD agribusiness programs; - Supervise Agribusiness Department staff to ensure the integrated management of all pertinent operations and oversee related management systems, including program/project impact monitoring system; - Oversee the work of the overseas and local consultants attached to the Agribusiness Department; - Initiate and oversee the design and implementation of new CARD programs, or the continuation of existing programs, in areas related to agricultural production, post-harvest handling, food processing and marketing, and as well as the introduction of new technologies, quality standards and packaging improvements with special emphasis on new products, increased exports and new markets; - Establish and manage a system for the effective monitoring and evaluation of all ongoing agribusiness programs, and the appraisal/approval of new projects and activities; - Initiate and manage systematic needs assessment to identify specific problems and opportunities for technical assistance; - Initiate and manage researches aimed at identifying new markets, potential new products for existing markets or desirable demonstration projects; - Oversee development of technical guidelines and seminars related to food marketing along with guidelines on the organization of trade shows and similar events; - Oversee the Department Team's advice to clients on program related issues. Develop materials to assist clients in the development of proper business plans in co-ordination with the Credit Department; - Ensure participation of the Department in the Loan Advisory Committee in close cooperation with other Departments and units; - Prepare annual Agribusiness Program Work Plan/Framework and corresponding program budget proposals to be integrated into the overall CARD Strategic Result Framework; - Prepare a number of periodic reports on CARD agribusiness operations, including an annual program impact report and a periodic report on special issues and proposals; - Work in collaboration with the Finance Department and other pertinent CARD related entities to ensure proper accounting for all financial transactions related to the Department and timely reports to management; - Prepare other analytical or financial reports on CARD agribusiness operations as required by Management or CARD donors; - Conduct needs assessment and develop SOW for selection of overseas consultants for agribusiness services; - Train staff of the Agribusiness Department in matters related to effective management of the Department operations; - Provide on-going advice on agribusiness operations to CARD staff and other parties as requested."
1034,Rural Development Manager,"Under the supervision of the CARD Director/CARD Deputy Director, the incumbent acts as a manager of all rural development programs and operations at CARD. This includes management of CARD programs in the area of agricultural production at the farm level, direct marketing of farm products, improvement of farm input supplies infrastructure, SME development in rural areas, establishment of farmer cooperatives and related rural initiatives. This includes introduction of new programs and instruments for enhancing the positive impact of CARD assistance programs at the farmer level with the emphasis on increasing rural employment and income.","- Review and advise the Director/Deputy regarding the best strategies, policies and instruments related to rural development activities of CARD. Play a key role in the establishment and formulation of these strategies and policies. Responsible for the implementation of these strategies, including the introduction of best practices in different areas of rural development; - As a member of the CARD management team participate in decisionmaking on plans and policies affecting rural development, including the design of pertinent new programs and projects; - Elaborate and introduce internal instruments and procedures for rural development operations; - Develop and ensure maintenance of sections of the Project Cycle Manual pertinent to rural development; - Analyse the need for and evaluate cost effectiveness of  existing and possible new programs and related performance monitoring mechanisms in order to ensure that CARD management has at all times a complete overview of the different dimensions of its rural development operations as required for policy decisions; - In general, is accountable for the integrity, transparency, and efficiency of CARD rural development programs;	    - Supervise other staff of the Rural Development Department to ensure the integrated management of all rural development programs and oversee all rural development management systems, including program/project impact monitoring systems; - Initiate and oversee the design and implementation of new rural development programs, or the continuation of existing programs, including improving quality and operational efficiency of agricultural production at the farm level, direct marketing of farmer products, improving infrastructure for farm input supplies, farm water management, SME development in rural areas, establishment of farmer cooperatives, entrepreneurial development at farmer level with emphasis on the use of renewable energy resources, development of youth clubs and other rural initiatives; - Establish and manage a system for the effective monitoring and evaluation of all ongoing rural development programs and the system of appraisal/approval of new projects activities by a Project Appraisal Committee; - Initiate and manage systematic needs assessment to identify specific problems and opportunities that may require technical assistance; - Initiate and manage researches aimed at identifying new services or desirable demonstration projects; - Oversee the Department work with clients on program related issues and assist them in the preparation of proposals, feasibility or technical studies to support loan requests. Develop materials to assist farmer cooperatives or credit clubs in the development of proper business plans in co-ordination with the Credit Department; - Ensure close co-ordination with the other substantive Departments of CARD, especially within the context of the Department's participation in the Loan Advisory Committee; - Prepare annual Rural Development Program Work Plan/Framework and corresponding program budget proposals to be integrated into the overall CARD Strategic Result Framework; - Prepare a number of periodic reports on CARD rural development operations for CARD management, including an annual program impact report and a periodic report on special issues; - Work in collaboration with the Finance Department and other pertinent CARD related entities to ensure proper accounting for all financial transactions related to the Department and timely reports to management; - Prepare other analytical reports on CARD rural development operations as required by CARD Management or CARD donors; - Advise on the selection of consultants from overseas for short and medium-term assignments and participate in the supervision of their work; - Train staff of the Rural Department in matters related to providing effective support to farmers; - Provide on-going advice on rural development services to CARD staff and other parties as requested; - Conduct needs assessment and develop SOW for selection of overseas consultants rural development programs."
